"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"a2d1bcf3e07ae838020e380141e5dc2a","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"a46833147d524b23f5eb0325d3d8c04c","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces_cerevisiae"
"c9533a3fb571f2af2b346de95970553c","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_neoformans"
"e709670735dc9186e5d59957214c574b","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"2739025c1a51d3aa73ad819fee2ade23","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon_dermatis"
"b3c08b0d45efed3ff2bbc0f584c8736f","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis",NA,NA
"9867665584696fcde6f657cc55ae893e","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA
"d478b75bbfa076c063efb92daa06cc24","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_parapsilosis"
"ea6949040ae9657f2c387d3bc10a115f","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","Trichophyton_rubrum"
"8afa793d61e93e9186271592f05743cc","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton","Trichophyton_mentagrophytes"
"5582ca20fa0f417863e5815094b81604","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum_sp"
"32368993d37d8131fe71a6f8685ff712","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Debaryomyces",NA
"f0a2d71fc36f96afa9d4fd17b146307f","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_uniguttulatus"
"d8be072a284fa053d89d192a159dbe7a","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Nakaseomyces","Nakaseomyces_glabratus"
"21b7198768350673f6373f807a0dc3f6","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae",NA,NA
"86238b364d6eba58ede0444f78a1fa25","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowiaceae_gen_Incertae_sedis","Metschnikowiaceae_sp"
"a44464d987b2d71064e2587d1595f13b","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",NA
"0d97e9d88c985f47b5d108d17159557a","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_fumigatus"
"3f0d826ef0cff80b4d338b726e1d61f2","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia",NA
"4f1198265081e59428cfeec524e64bdf","Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_sp"
"f61b24342856b47a76d62ac5e4b8b01d","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"05a2e39a3f183e99be95face8bb7ae31","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_slooffiae"
"128fca72e1b51462ba1d6bcbc982ccf2","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia",NA
