"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f4ae7fd0c8382bd78df2a87636b2ba2c","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","[Synechococcus]_spongiarum_group",NA
"a42a1f6e3beb7c855379e79d9a859ff5","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"2cfabdc708ad87b270239074b26a97c1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"30fd9d850d7c6092a1b333d5f96e9aed","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","uncultured",NA
"e72bd73998cecb3bb83104056f354b5c","d__Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA,NA
"6419320a029dc41f49207369985f88a3","d__Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA
"c060e7afdd3b9abfc0dc0eda753b2a94","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermacoccaceae","Kytococcus",NA
"a782dc108691eaa1d0787ed33eecd3eb","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"ec161affc1b52de7c67fe676fcb871d7","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family_XI","W5053",NA
"f1042ed1d6feda094225c69fa520aadd","d__Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA
"fef112b93a990340041da78e3b6096a1","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",NA
"fef55578fc41d413c7d283b1074f9378","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA
"af3477b206b66d0e2ea02db28596ce31","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA
"da2a88b91cabe007066f519f4d250873","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"795d7587a28ca698803806bdae74dec4","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae",NA,NA
"c5308ab5f1833c36124b0b5ee2bfafcb","d__Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Thermus",NA
"e71dbb050f13b8e2c07cc50a391c3413","d__Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"343a359ff810f69a79819ffb04b381cd","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"76cf6424ed18fa8e86080793198d0c03","d__Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae",NA,NA
"1ae6cc8f46b8e08e674b98a915fe9ced","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniferax",NA
"8c32675ef2f1138bdc2be43bd8d501a0","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"c2fadd5c34ea75624561d95385eb438f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
